trapVerbatimLocalityLong,PitstartDateOfCollection,PitendDateOfCollection,HeightClass,A.syr,A.mil,F.vir,C.vul,R.ida,Cladi,Prub1,Prub2,Prub3,Prub4,Prub5,P.str,V.ang,T.bor,Plant,D.pun,M.can,Melam,Awlli,Wdsrl
Peninsula Upland Spruce 6,17-Jul,19-Jul,1,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 6,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 6,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 6,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 6,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 7,17-Jul,19-Jul,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 7,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 7,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 7,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 7,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 8,17-Jul,19-Jul,1,0,0,0,0,0,1,230,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 8,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 8,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 8,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 8,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 9,17-Jul,19-Jul,1,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0
Peninsula Upland Spruce 9,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 9,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 9,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula Upland Spruce 9,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 1,17-Jul,19-Jul,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 1,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 1,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 1,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 1,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 2,17-Jul,19-Jul,1,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 2,17-Jul,19-Jul,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 2,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 2,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 2,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 3,17-Jul,19-Jul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 3,17-Jul,19-Jul,2,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Hog Island Peak Spruce 3,17-Jul,19-Jul,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
