Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S33873849,Southern Cassowary,Casuarius casuarius,207.05,1,AU-QLD,,Daintree--road near Thornton Beach,-16.1554231,145.4428021,06-19-2014,06:00 PM,eBird - Casual Observation,0,0,,,1
S34007479,Emu,Dromaius novaehollandiae,207.2,4,AU-NSW,,"Uabba St, Euabalong West",-33.0556607,146.3922429,11-13-2005,05:00 PM,eBird - Casual Observation,0,0,,,4
S33874498,Magpie Goose,Anseranas semipalmata,211,X,AU-NT,,Kakadu National Park--Mamukala Billabong,-12.6509116,132.5737703,06-17-2014,03:00 PM,eBird - Casual Observation,0,0,,,3
S37258481,Graylag Goose,Anser anser,248,7,NL-NH,,Amsterdam--Nieuwe Meer 'Ons Buiten',52.335725,4.8445295,05-30-2017,10:11 AM,eBird - Stationary Count,30,1,,,1
S37286220,Graylag Goose,Anser anser,248,12,NL-NH,,"NL-Wormerveer-Provincialeweg - 52,491x4,783 - 31/05/2017 4:51 da tarde",52.4914003,4.7828046,05-31-2017,04:46 PM,eBird - Casual Observation,,0,,,1
S33880479,Graylag Goose,Anser anser,248,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S33894599,Graylag Goose (Domestic type),Anser anser (Domestic type),251,6,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Graylag Goose (Domestic type),Anser anser (Domestic type),251,20,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Graylag Goose (Domestic type),Anser anser (Domestic type),251,12,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Graylag Goose (Domestic type),Anser anser (Domestic type),251,18,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Graylag Goose (Domestic type),Anser anser (Domestic type),251,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35732236,Graylag Goose (Domestic type),Anser anser (Domestic type),251,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37766357,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),252.7,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S33880479,Brant,Branta bernicla,261,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S33880479,Barnacle Goose,Branta leucopsis,268,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S35447772,Cackling Goose,Branta hutchinsii,271,6,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35651135,Cackling Goose,Branta hutchinsii,271,4,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S35447772,Canada Goose,Branta canadensis,277,18,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35546487,Canada Goose,Branta canadensis,277,1,US-CA,Marin,Pt. Reyes--Limantour Beach Path,38.0268982,-122.8827238,03-30-2017,12:45 PM,eBird - Traveling Count,20,1,.8,,2
S35238044,Canada Goose,Branta canadensis,277,4,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-17-2017,11:12 AM,eBird - Stationary Count,30,1,,,1
S35501895,Canada Goose,Branta canadensis,277,1,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35651135,Canada Goose,Branta canadensis,277,28,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33912372,Canada Goose,Branta canadensis,277,X,NZ-STL,Southland District,Fiordland NP--Kepler Track (Te Anau end),-45.4401912,167.6855407,03-09-2016,08:00 AM,eBird - Casual Observation,0,0,,,2
S33919038,Canada Goose,Branta canadensis,277,X,US-NY,Tompkins,Sapsucker Woods--Lab Building Area,42.4796874,-76.4509829,11-02-1997,,eBird - Casual Observation,0,0,,,1
S35447772,Mute Swan,Cygnus olor,296,1,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S37258481,Mute Swan,Cygnus olor,296,4,NL-NH,,Amsterdam--Nieuwe Meer 'Ons Buiten',52.335725,4.8445295,05-30-2017,10:11 AM,eBird - Stationary Count,30,1,,,1,FL Recently Fledged Young
S37302277,Mute Swan,Cygnus olor,296,4,NL-ZH,,NL-Roterdão,51.9223563,4.4524086,06-01-2017,09:50 AM,eBird - Casual Observation,,0,,,1
S34596992,Black Swan,Cygnus atratus,297,2,AU-NSW,,AU-New South Wales-Seal Rocks-Horse Point Road - -32.398x152.485,-32.3977925,152.4854876,02-21-2017,09:50 AM,eBird - Casual Observation,,0,,,1
S33423571,Black Swan,Cygnus atratus,297,17,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-04-2017,02:01 PM,eBird - Stationary Count,10,1,,,1
S33870380,Black Swan,Cygnus atratus,297,20,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-23-2017,09:21 AM,eBird - Traveling Count,36,1,.8,,1
S33894599,Black Swan,Cygnus atratus,297,8,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Black Swan,Cygnus atratus,297,28,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Black Swan,Cygnus atratus,297,13,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Black Swan,Cygnus atratus,297,14,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Black Swan,Cygnus atratus,297,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Black Swan,Cygnus atratus,297,8,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Black Swan,Cygnus atratus,297,18,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37077499,Black Swan,Cygnus atratus,297,12,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,05-23-2017,08:45 AM,eBird - Traveling Count,35,1,.8,,3
S37766357,Black Swan,Cygnus atratus,297,7,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S37838584,Black Swan,Cygnus atratus,297,5,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S35932805,Black Swan,Cygnus atratus,297,4,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S33919977,Black Swan,Cygnus atratus,297,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-25-2017,05:14 PM,eBird - Stationary Count,8,1,,,1
S34084833,Black Swan,Cygnus atratus,297,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1
S34103569,Black Swan,Cygnus atratus,297,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-02-2017,06:31 PM,eBird - Stationary Count,22,1,,,1
S35037821,Black Swan,Cygnus atratus,297,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-08-2017,05:18 PM,eBird - Stationary Count,9,1,,,1
S36086982,Black Swan,Cygnus atratus,297,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,04:59 PM,eBird - Stationary Count,14,1,,,1
S36105971,Black Swan,Cygnus atratus,297,2,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-20-2017,09:30 AM,eBird - Stationary Count,7,1,,,1,,,Kippax lake
S34548191,Black Swan,Cygnus atratus,297,2,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-20-2017,01:33 PM,eBird - Casual Observation,,0,,,1
S34606207,Black Swan,Cygnus atratus,297,2,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-21-2017,05:44 PM,eBird - Traveling Count,45,0,1.5,,3
S36190791,Black Swan,Cygnus atratus,297,4,AU-NSW,,Sydney Olympic Park--Waterbird Refuge,-33.83732,151.07839,04-23-2017,01:25 PM,eBird - Traveling Count,80,1,3,,1
S37422552,Egyptian Goose,Alopochen aegyptiaca,325,2,PT-11,Lisboa,Jardins da Fundação Calouste Gulbenkian,38.7372396,-9.1533645,06-06-2017,02:54 PM,eBird - Traveling Count,15,1,.8,,2
S37202092,Egyptian Goose,Alopochen aegyptiaca,325,16,NL-NH,,Vondelpark,52.3579375,4.867512,05-28-2017,09:45 AM,eBird - Traveling Count,85,1,1.5,,2,FL Recently Fledged Young
S37227254,Egyptian Goose,Alopochen aegyptiaca,325,16,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:45 AM,eBird - Traveling Count,70,1,3,,1,FL Recently Fledged Young
S37240929,Egyptian Goose,Alopochen aegyptiaca,325,4,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:30 PM,eBird - Stationary Count,30,1,,,1
S37282104,Egyptian Goose,Alopochen aegyptiaca,325,7,NL-NH,,Vondelpark,52.3579375,4.867512,05-30-2017,08:34 PM,eBird - Traveling Count,15,1,1.2,,1,FL Recently Fledged Young
S33920193,Radjah Shelduck,Tadorna radjah,331,X,AU-NT,,Kakadu National Park--South Alligator boatramp,-12.6609191,132.5041294,06-17-2014,09:45 AM,eBird - Casual Observation,0,0,,,3
S37422552,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),348,1,PT-11,Lisboa,Jardins da Fundação Calouste Gulbenkian,38.7372396,-9.1533645,06-06-2017,02:54 PM,eBird - Traveling Count,15,1,.8,,2
S33874498,Green Pygmy-Goose,Nettapus pulchellus,351,X,AU-NT,,Kakadu National Park--Mamukala Billabong,-12.6509116,132.5737703,06-17-2014,03:00 PM,eBird - Casual Observation,0,0,,,3
S33920153,Maned Duck,Chenonetta jubata,361,2,AU-NSW,,Bundeena,-34.0868002,151.1556101,01-10-2015,09:45 AM,eBird - Casual Observation,0,0,,,3
S36087068,Maned Duck,Chenonetta jubata,361,8,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-19-2017,05:41 PM,eBird - Casual Observation,0,0,,,1,,,Kippax Lake at dusk
S36105971,Maned Duck,Chenonetta jubata,361,6,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-20-2017,09:30 AM,eBird - Stationary Count,7,1,,,1,,,Kippax lake
S36294406,Maned Duck,Chenonetta jubata,361,4,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-27-2017,09:33 AM,eBird - Casual Observation,,0,,,1
S35501895,Gadwall,Anas strepera,377,2,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S37202092,Gadwall,Anas strepera,377,2,NL-NH,,Vondelpark,52.3579375,4.867512,05-28-2017,09:45 AM,eBird - Traveling Count,85,1,1.5,,2
S37227254,Gadwall,Anas strepera,377,2,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:45 AM,eBird - Traveling Count,70,1,3,,1
S35546487,American Wigeon,Anas americana,386,10,US-CA,Marin,Pt. Reyes--Limantour Beach Path,38.0268982,-122.8827238,03-30-2017,12:45 PM,eBird - Traveling Count,20,1,.8,,2
S35238044,American Wigeon,Anas americana,386,35,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-17-2017,11:12 AM,eBird - Stationary Count,30,1,,,1
S35501895,American Wigeon,Anas americana,386,18,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35207103,Mallard,Anas platyrhynchos,396,X,GB-ENG,Cambridgeshire,River Cam,52.2095264,.1162362,09-25-2000,10:00 AM,eBird - Casual Observation,0,0,,,2
S37402860,Mallard,Anas platyrhynchos,396,4,PT-11,Lisboa,Campo dos Mártires da Pátria,38.7214235,-9.1399786,06-05-2017,04:30 PM,eBird - Traveling Count,7,1,.2,,3
S37422552,Mallard,Anas platyrhynchos,396,28,PT-11,Lisboa,Jardins da Fundação Calouste Gulbenkian,38.7372396,-9.1533645,06-06-2017,02:54 PM,eBird - Traveling Count,15,1,.8,,2
S35447772,Mallard,Anas platyrhynchos,396,8,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35546487,Mallard,Anas platyrhynchos,396,4,US-CA,Marin,Pt. Reyes--Limantour Beach Path,38.0268982,-122.8827238,03-30-2017,12:45 PM,eBird - Traveling Count,20,1,.8,,2
S35501895,Mallard,Anas platyrhynchos,396,3,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35329742,Mallard,Anas platyrhynchos,396,1,US-CA,Santa Barbara,Mission Creek outflow (SBA Co.),34.4127959,-119.6869361,03-21-2017,09:10 AM,eBird - Casual Observation,,0,,,1
