Order,Family,sp_count,obs_count,bio_count,fam
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",246,1,1,Accipitridae
Accipitriformes,Cathartidae (New World Vultures),7,1,1,Cathartidae
Accipitriformes,Pandionidae (Osprey),1,1,1,Pandionidae
Accipitriformes,Sagittariidae (Secretary-bird),1,1,1,Sagittariidae
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",164,1,1,Anatidae
Anseriformes,Anhimidae (Screamers),3,1,1,Anhimidae
Anseriformes,Anseranatidae (Magpie Goose),1,1,1,Anseranatidae
Apterygiformes,Apterygidae (Kiwis),5,1,1,Apterygidae
Bucerotiformes,Bucerotidae (Hornbills),59,1,1,Bucerotidae
Bucerotiformes,Bucorvidae (Ground-Hornbills),2,1,1,Bucorvidae
Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitar-bills),8,1,1,Phoeniculidae
Bucerotiformes,Upupidae (Hoopoes),2,1,1,Upupidae
Caprimulgiformes,Aegothelidae (Owlet-nightjars),10,1,1,Aegothelidae
Caprimulgiformes,Apodidae (Swifts),105,1,1,Apodidae
Caprimulgiformes,Caprimulgidae (Nightjars and Allies),98,1,1,Caprimulgidae
Caprimulgiformes,Hemiprocnidae (Treeswifts),4,1,1,Hemiprocnidae
Caprimulgiformes,Nyctibiidae (Potoos),7,1,1,Nyctibiidae
Caprimulgiformes,Podargidae (Frogmouths),15,1,1,Podargidae
Caprimulgiformes,Steatornithidae (Oilbird),1,1,1,Steatornithidae
Caprimulgiformes,Trochilidae (Hummingbirds),343,1,1,Trochilidae
Cariamiformes,Cariamidae (Seriemas),2,1,1,Cariamidae
Casuariiformes,Casuariidae (Cassowaries and Emu),4,1,1,Casuariidae
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",25,1,1,Alcidae
Charadriiformes,Burhinidae (Thick-knees),10,1,1,Burhinidae
Charadriiformes,Charadriidae (Plovers and Lapwings),67,1,1,Charadriidae
Charadriiformes,Chionidae (Sheathbills),2,1,1,Chionidae
Charadriiformes,Dromadidae (Crab Plover),1,1,1,Dromadidae
Charadriiformes,Glareolidae (Pratincoles and Coursers),17,1,1,Glareolidae
Charadriiformes,Haematopodidae (Oystercatchers),12,1,1,Haematopodidae
Charadriiformes,Ibidorhynchidae (Ibisbill),1,1,1,Ibidorhynchidae
Charadriiformes,Jacanidae (Jacanas),8,1,1,Jacanidae
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",99,1,1,Laridae
Charadriiformes,Pedionomidae (Plains-wanderer),1,1,1,Pedionomidae
Charadriiformes,Pluvianellidae (Magellanic Plover),1,1,1,Pluvianellidae
Charadriiformes,Pluvianidae (Egyptian Plover),1,1,1,Pluvianidae
Charadriiformes,Recurvirostridae (Stilts and Avocets),9,1,1,Recurvirostridae
Charadriiformes,Rostratulidae (Painted-Snipes),3,1,1,Rostratulidae
Charadriiformes,Scolopacidae (Sandpipers and Allies),97,1,1,Scolopacidae
Charadriiformes,Stercorariidae (Skuas and Jaegers),7,1,1,Stercorariidae
Charadriiformes,Thinocoridae (Seedsnipes),4,1,1,Thinocoridae
Charadriiformes,Turnicidae (Buttonquail),16,1,1,Turnicidae
Ciconiiformes,Ciconiidae (Storks),19,1,1,Ciconiidae
Coliiformes,Coliidae (Mousebirds),6,1,1,Coliidae
Columbiformes,Columbidae (Pigeons and Doves),338,1,1,Columbidae
Coraciiformes,Alcedinidae (Kingfishers),117,1,1,Alcedinidae
Coraciiformes,Brachypteraciidae (Ground-Rollers),5,1,1,Brachypteraciidae
Coraciiformes,Coraciidae (Rollers),12,1,1,Coraciidae
Coraciiformes,Meropidae (Bee-eaters),28,1,1,Meropidae
Coraciiformes,Momotidae (Motmots),14,1,1,Momotidae
Coraciiformes,Todidae (Todies),5,1,1,Todidae
Cuculiformes,Cuculidae (Cuckoos),146,1,1,Cuculidae
Cuculiformes,Musophagidae (Turacos),23,1,1,Musophagidae
Eurypygiformes,Eurypygidae (Sunbittern),1,1,1,Eurypygidae
Eurypygiformes,Rhynochetidae (Kagu),1,1,1,Rhynochetidae
Falconiformes,Falconidae (Falcons and Caracaras),65,1,1,Falconidae
Galbuliformes,Bucconidae (Puffbirds),36,1,1,Bucconidae
Galbuliformes,Galbulidae (Jacamars),18,1,1,Galbulidae
Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",54,1,1,Cracidae
Galliformes,Megapodiidae (Megapodes),22,1,1,Megapodiidae
Galliformes,Numididae (Guineafowl),6,1,1,Numididae
Galliformes,Odontophoridae (New World Quail),33,1,1,Odontophoridae
